iter	Passed	Remaining
0	54	54187
1	54	27249
2	54	18271
3	55	13776
4	55	11085
5	56	9284
6	56	8006
7	56	7044
8	57	6294
9	57	5697
10	57	5209
11	58	4803
12	58	4456
13	59	4159
14	59	3903
15	59	3678
16	60	3478
17	60	3300
18	60	3142
19	61	2998
20	61	2872
21	62	2756
22	62	2648
23	62	2552
24	63	2461
25	63	2377
26	63	2299
27	64	2226
28	64	2159
29	64	2097
30	65	2037
31	65	1983
32	65	1932
33	66	1883
34	66	1838
35	67	1795
36	67	1754
37	67	1716
38	68	1679
39	68	1644
40	68	1612
41	69	1581
42	69	1550
43	70	1521
44	70	1493
45	70	1466
46	71	1441
47	71	1417
48	71	1393
49	72	1371
50	72	1349
51	72	1328
52	73	1308
53	73	1288
54	73	1269
55	74	1251
56	74	1233
57	74	1217
58	75	1200
59	75	1184
60	76	1170
61	76	1155
62	76	1141
63	77	1127
64	77	1114
65	77	1101
66	78	1088
67	78	1076
68	78	1064
69	79	1053
70	79	1041
71	79	1030
72	80	1020
73	80	1009
74	81	999
75	81	989
76	81	979
77	82	970
78	82	961
79	82	952
80	83	943
81	83	934
82	83	924
83	83	915
84	84	907
85	84	899
86	85	892
87	85	884
88	85	877
89	86	870
90	86	864
91	86	857
92	87	850
93	87	843
94	87	837
95	88	830
96	88	824
97	88	818
98	89	812
99	89	807
100	90	801
101	90	795
102	90	790
103	91	784
104	91	779
105	91	773
106	92	769
107	92	763
108	92	758
109	93	754
110	93	749
111	93	744
112	94	740
113	94	735
114	95	731
115	95	726
116	95	721
117	95	717
118	96	713
119	96	710
120	97	706
121	97	702
122	97	698
123	98	694
124	98	691
125	99	689
126	99	685
127	100	682
128	100	680
129	101	680
130	102	677
131	102	674
132	102	671
133	103	667
134	103	664
135	104	661
136	104	657
137	104	654
138	105	651
139	105	648
140	106	645
141	106	641
142	106	638
143	106	635
144	107	632
145	107	629
146	107	626
147	108	623
148	108	620
149	109	617
150	109	615
151	109	612
152	110	609
153	110	606
154	110	603
155	111	601
156	111	598
157	111	596
158	112	593
159	112	590
160	112	587
161	113	585
162	113	582
163	113	580
164	114	577
165	114	574
166	114	572
167	115	570
168	115	567
169	115	565
170	116	563
171	116	560
172	116	558
173	117	556
174	117	554
175	118	553
176	118	551
177	118	549
178	119	547
179	119	545
180	120	544
181	120	542
182	120	540
183	121	538
184	121	535
185	121	533
186	122	531
187	122	530
188	123	528
189	123	526
190	123	524
191	124	523
192	125	526
193	126	525
194	127	524
195	128	526
196	129	525
197	129	524
198	129	522
199	130	521
200	130	519
201	131	518
202	131	516
203	131	514
204	132	512
205	132	510
206	132	509
207	133	507
208	133	505
209	134	504
210	134	502
211	134	500
212	135	499
213	135	497
214	135	495
215	136	494
216	136	492
217	136	490
218	137	489
219	137	487
220	137	485
221	138	484
222	138	482
223	138	480
224	139	479
225	139	477
226	139	476
227	140	474
228	140	473
229	140	471
230	141	470
231	141	468
232	141	467
233	142	465
234	142	464
235	142	462
236	143	461
237	143	459
238	143	458
239	144	456
240	144	455
241	145	454
242	145	452
243	145	451
244	146	450
245	146	448
246	146	447
247	147	446
248	147	444
249	147	443
250	148	442
251	148	440
252	148	439
253	149	438
254	149	436
255	149	435
256	150	434
257	150	433
258	150	431
259	151	430
260	151	429
261	152	428
262	152	426
263	152	425
264	153	424
265	153	423
266	153	421
267	154	420
268	154	419
269	154	418
270	155	417
271	155	416
272	155	414
273	156	413
274	156	412
275	156	411
276	157	410
277	157	409
278	157	407
279	158	406
280	158	405
281	158	404
282	159	403
283	159	402
284	159	401
285	160	400
286	160	399
287	160	397
288	161	397
289	161	395
290	162	394
291	162	393
292	162	392
293	163	391
294	163	390
295	163	389
296	164	388
297	164	387
298	164	385
299	164	384
300	165	383
301	165	382
302	165	381
303	165	380
304	166	378
305	166	377
306	166	376
307	167	375
308	167	374
309	167	373
310	167	372
311	168	371
312	168	369
313	168	368
314	169	367
315	169	366
316	169	365
317	169	364
318	170	363
319	170	361
320	170	360
321	170	359
322	171	358
323	171	357
324	171	356
325	171	355
326	172	354
327	172	353
328	172	352
329	172	351
330	173	350
331	173	349
332	173	347
333	173	346
334	174	345
335	174	344
336	174	343
337	175	342
338	175	341
339	175	340
340	175	339
341	176	338
342	176	337
343	176	336
344	176	335
345	177	334
346	177	334
347	177	333
348	178	332
349	178	331
350	178	330
351	178	329
352	179	328
353	179	327
354	179	326
355	179	325
356	180	324
357	180	323
358	180	322
359	180	321
360	181	320
361	181	319
362	181	318
363	181	317
364	182	317
365	182	316
366	182	315
367	183	314
368	183	313
369	183	312
370	183	311
371	184	310
372	184	309
373	184	309
374	184	308
375	185	307
376	185	306
377	185	305
378	186	304
379	186	304
380	186	303
381	186	302
382	187	301
383	187	300
384	187	300
385	188	299
386	188	298
387	188	297
388	188	296
389	189	296
390	189	295
391	189	294
392	190	293
393	190	293
394	190	292
395	191	291
396	191	290
397	191	289
398	191	288
399	192	288
400	192	287
401	192	286
402	192	285
403	193	284
404	193	284
405	193	283
406	193	282
407	194	281
408	194	280
409	194	280
410	194	279
411	195	278
412	195	277
413	195	277
414	195	276
415	196	275
416	196	274
417	196	274
418	197	273
419	197	272
420	197	271
421	197	271
422	198	270
423	198	269
424	198	268
425	199	268
426	199	267
427	199	266
428	199	265
429	200	265
430	200	264
431	200	263
432	200	263
433	201	262
434	201	261
435	201	260
436	201	260
437	202	259
438	202	258
439	202	258
440	203	257
441	203	256
442	203	256
443	203	255
444	204	254
445	204	253
446	204	253
447	204	252
448	205	251
449	205	251
450	205	250
451	206	249
452	206	249
453	206	248
454	206	247
455	207	247
456	207	246
457	207	245
458	207	245
459	208	244
460	208	243
461	208	243
462	208	242
463	209	241
464	209	240
465	209	240
466	209	239
467	210	239
468	210	238
469	210	237
470	211	237
471	211	236
472	211	235
473	211	235
474	212	234
475	212	233
476	212	233
477	212	232
478	213	231
479	213	231
480	213	230
481	214	230
482	214	229
483	215	229
484	215	228
485	215	228
486	216	227
487	216	226
488	216	226
489	216	225
490	217	225
491	217	224
492	218	224
493	219	224
494	219	223
495	219	223
496	220	222
497	220	222
498	220	221
499	220	220
500	221	220
501	221	219
502	221	219
503	222	218
504	222	218
505	222	217
506	223	216
507	223	216
508	223	215
509	223	215
510	224	214
511	224	214
512	224	213
513	225	213
514	225	212
515	225	211
516	226	211
517	226	210
518	226	210
519	226	209
520	227	208
521	227	208
522	227	207
523	228	207
524	228	206
525	228	205
526	228	205
527	229	204
528	229	204
529	229	203
530	229	203
531	230	202
532	230	201
533	230	201
534	230	200
535	231	200
536	231	199
537	231	199
538	232	198
539	232	197
540	232	197
541	232	196
542	233	196
543	233	195
544	233	195
545	233	194
546	234	193
547	234	193
548	234	192
549	235	192
550	235	191
551	235	191
552	235	190
553	236	190
554	236	189
555	236	188
556	236	188
557	237	187
558	237	187
559	237	186
560	238	186
561	238	185
562	238	185
563	238	184
564	239	184
565	239	183
566	239	182
567	239	182
568	240	181
569	240	181
570	240	180
571	240	180
572	241	179
573	241	179
574	241	178
575	242	178
576	242	177
577	242	177
578	242	176
579	243	176
580	243	175
581	243	174
582	243	174
583	244	173
584	244	173
585	244	172
586	245	172
587	245	171
588	245	171
589	245	170
590	246	170
591	246	169
592	246	169
593	246	168
594	247	168
595	247	167
596	247	167
597	247	166
598	248	166
599	248	165
600	248	165
601	249	164
602	249	164
603	249	163
604	249	163
605	250	162
606	250	162
607	250	161
608	250	161
609	251	160
610	251	160
611	251	159
612	251	159
613	252	158
614	252	158
615	252	157
616	253	157
617	253	156
618	253	156
619	253	155
620	254	155
621	254	154
622	254	154
623	254	153
624	255	153
625	255	152
626	255	152
627	255	151
628	256	151
629	256	150
630	256	150
631	257	149
632	257	149
633	257	148
634	257	148
635	258	147
636	258	147
637	258	146
638	259	146
639	259	145
640	259	145
641	259	144
642	260	144
643	260	143
644	260	143
645	260	142
646	261	142
647	261	141
648	261	141
649	261	141
650	262	140
651	262	140
652	262	139
653	263	139
654	263	138
655	263	138
656	263	137
657	264	137
658	264	136
659	264	136
660	264	135
661	265	135
662	265	134
663	265	134
664	265	133
665	266	133
666	266	133
667	266	132
668	267	132
669	267	131
670	267	131
671	267	130
672	268	130
673	268	129
674	268	129
675	268	128
676	269	128
677	269	127
678	269	127
679	270	127
680	270	126
681	270	126
682	270	125
683	271	125
684	271	124
685	271	124
686	271	123
687	272	123
688	272	122
689	272	122
690	272	122
691	273	121
692	273	121
693	273	120
694	274	120
695	274	119
696	274	119
697	274	118
698	275	118
699	275	118
700	275	117
701	276	117
702	276	116
703	276	116
704	276	115
705	277	115
706	277	114
707	277	114
708	277	114
709	278	113
710	278	113
711	278	112
712	279	112
713	279	111
714	279	111
715	279	111
716	280	110
717	280	110
718	280	109
719	280	109
720	281	108
721	281	108
722	281	107
723	281	107
724	282	107
725	282	106
726	282	106
727	283	105
728	283	105
729	283	104
730	283	104
731	284	104
732	284	103
733	284	103
734	284	102
735	285	102
736	285	101
737	285	101
738	285	100
739	286	100
740	286	100
741	286	99
742	287	99
743	287	98
744	287	98
745	287	98
746	288	97
747	288	97
748	288	96
749	288	96
750	289	95
751	289	95
752	289	95
753	289	94
754	290	94
755	290	93
756	290	93
757	290	92
758	291	92
759	291	92
760	291	91
761	292	91
762	292	90
763	292	90
764	292	90
765	293	89
766	293	89
767	293	88
768	294	88
769	294	87
770	294	87
771	294	87
772	295	86
773	295	86
774	295	85
775	296	85
776	296	85
777	296	84
778	296	84
779	297	83
780	297	83
781	297	82
782	297	82
783	298	82
784	298	81
785	298	81
786	298	80
787	299	80
788	299	80
789	299	79
790	299	79
791	300	78
792	300	78
793	300	78
794	301	77
795	301	77
796	301	76
797	301	76
798	302	76
799	302	75
800	302	75
801	303	74
802	303	74
803	303	73
804	303	73
805	304	73
806	304	72
807	304	72
808	304	72
809	305	71
810	305	71
811	305	70
812	306	70
813	306	69
814	306	69
815	306	69
816	307	68
817	307	68
818	307	67
819	307	67
820	308	67
821	308	66
822	309	66
823	309	66
824	309	65
825	310	65
826	310	64
827	310	64
828	311	64
829	311	63
830	311	63
831	311	62
832	312	62
833	312	62
834	312	61
835	312	61
836	313	60
837	313	60
838	313	60
839	313	59
840	314	59
841	314	59
842	314	58
843	315	58
844	315	57
845	315	57
846	316	57
847	316	56
848	316	56
849	317	55
850	317	55
851	317	55
852	318	54
853	318	54
854	318	54
855	318	53
856	319	53
857	319	52
858	319	52
859	319	52
860	320	51
861	320	51
862	320	50
863	320	50
864	321	50
865	321	49
866	321	49
867	322	49
868	322	48
869	323	48
870	323	47
871	323	47
872	324	47
873	324	46
874	324	46
875	325	46
876	325	45
877	325	45
878	325	44
879	326	44
880	326	44
881	326	43
882	326	43
883	327	42
884	327	42
885	327	42
886	328	41
887	328	41
888	328	41
889	328	40
890	329	40
891	329	39
892	330	39
893	330	39
894	330	38
895	331	38
896	331	38
897	331	37
898	331	37
899	332	36
900	332	36
901	332	36
902	333	35
903	333	35
904	333	35
905	333	34
906	334	34
907	334	33
908	334	33
909	334	33
910	335	32
911	335	32
912	335	31
913	336	31
914	336	31
915	336	30
916	337	30
917	337	30
918	337	29
919	338	29
920	338	29
921	339	28
922	340	28
923	340	28
924	341	27
925	341	27
926	341	26
927	342	26
928	342	26
929	342	25
930	343	25
931	343	25
932	344	24
933	344	24
934	344	23
935	345	23
936	345	23
937	345	22
938	345	22
939	346	22
940	346	21
941	347	21
942	347	21
943	347	20
944	348	20
945	348	19
946	348	19
947	349	19
948	349	18
949	349	18
950	350	18
951	350	17
952	350	17
953	351	16
954	351	16
955	351	16
956	352	15
957	352	15
958	353	15
959	353	14
960	354	14
961	354	14
962	354	13
963	355	13
964	355	12
965	355	12
966	355	12
967	356	11
968	356	11
969	356	11
970	357	10
971	357	10
972	357	9
973	358	9
974	358	9
975	358	8
976	359	8
977	359	8
978	359	7
979	360	7
980	360	6
981	360	6
982	361	6
983	361	5
984	361	5
985	362	5
986	362	4
987	362	4
988	363	4
989	363	3
990	363	3
991	364	2
992	364	2
993	364	2
994	365	1
995	365	1
996	365	1
997	366	0
998	366	0
999	366	0
